name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City, New York",2023-03-10,44.9,37.9,41.4,44.9,30.6,37,31.3,67.7,0.018,100,16.67,rain,0,0,41.4,11,62.4,1015,62.4,9.8,79.1,6.7,4,10,2023-03-10T06:16:05,2023-03-10T17:57:13,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York City, New York",2023-03-11,44.8,37,40.8,41.5,31.7,36.2,34.7,80.3,0.027,100,45.83,rain,0,0,27.5,11.6,26.5,1008.3,97,9.7,64.7,5.7,4,10,2023-03-11T06:14:28,2023-03-11T17:58:19,0.65,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
"New York City, New York",2023-03-12,47,35,40.6,44.8,30.1,36.6,27.5,60.5,0,0,0,,0,0,31.1,8.9,85.9,1016.7,12.9,9.9,155.2,12.9,5,10,2023-03-12T07:12:51,2023-03-12T18:59:24,0.68,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York City, New York",2023-03-13,44.3,38.9,41.3,40.3,33.4,36.4,37.1,85.2,0.432,100,70.83,rain,0,0,26.4,15.1,63.7,1012,100,5.6,35.3,2.9,1,10,2023-03-13T07:11:13,2023-03-13T19:00:30,0.72,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
"New York City, New York",2023-03-14,39,33.7,35.8,39,24.2,27.6,29.6,78.3,0.349,100,37.5,"rain,snow",0.6,0,33.1,19.5,286.5,1000.7,97.8,6.3,56.7,4.8,3,10,2023-03-14T07:09:35,2023-03-14T19:01:35,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
"New York City, New York",2023-03-15,44.3,34.3,38.4,37,23.5,29.3,19.9,47.8,0,0,0,,0,0,39.9,22.4,301.8,1008.8,27.3,9.9,215,18.7,8,10,2023-03-15T07:07:57,2023-03-15T19:02:40,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
"New York City, New York",2023-03-16,58.1,35.3,45.4,58.1,28.3,41.9,14,28.3,0,0,0,,0,0,28.9,13.3,286.4,1015.7,12.2,9.9,194.8,16.7,8,10,2023-03-16T07:06:18,2023-03-16T19:03:44,0.82,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,F1417,72503014732"
"New York City, New York",2023-03-17,58.7,47.1,52.8,58.7,45.2,52.6,28,39.2,0,0,0,,0,0,20.8,13.5,213.1,1006.7,53.1,9.9,128.8,11.2,6,10,2023-03-17T07:04:40,2023-03-17T19:04:49,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
"New York City, New York",2023-03-18,56.9,43.1,49.1,56.9,38.7,47.5,27.2,44.3,0.002,100,8.33,rain,0,0,50.1,19.1,271.9,1006,38,9.9,227.6,19.7,8,10,2023-03-18T07:03:01,2023-03-18T19:05:53,0.89,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York City, New York",2023-03-19,43.1,30.8,37.2,38.8,22,31,13.3,37.5,0,0,0,,0,0,31.7,15.3,270.5,1016.2,21.2,9.9,255.8,22.1,9,10,2023-03-19T07:01:22,2023-03-19T19:06:57,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York City, New York",2023-03-20,50,32,41,50,25.5,36.4,19.6,42.8,0,0,0,,0,0,34.8,10.9,246.1,1025.1,0.1,9.9,239.8,20.6,8,10,2023-03-20T06:59:42,2023-03-20T19:08:01,0.96,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York City, New York",2023-03-21,62,38.2,49.9,62,33.2,48,21.2,35,0,0,0,,0,0,35.7,13.8,256.2,1027.6,0.6,9.9,244.9,21.1,8,10,2023-03-21T06:58:03,2023-03-21T19:09:05,0,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York City, New York",2023-03-22,60.2,45.2,50.8,60.2,42.7,49.7,31.7,50,0,0,0,,0,0,34.4,8.8,228.9,1026.9,27.3,9.9,195.6,16.9,8,10,2023-03-22T06:56:23,2023-03-22T19:10:09,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York City, New York",2023-03-23,57.1,47.1,52.2,57.1,44.3,52,47.2,83.2,0.005,100,12.5,rain,0,0,53.9,11.1,262.5,1014,65.5,9.2,59.7,5.1,2,10,2023-03-23T06:54:44,2023-03-23T19:11:13,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
